Prix,Surface,Commune,Pieces,DPE,Titre,Lien,Source,Prix m2,Surface par pieces,CommuneKey,Estimation,Decote
454.0,45.0,Vannes,2,4,Duplex/triplex 45 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/duplex-triplex/1290564789A1KILHDU000,paruvendu,10.088888888888889,22.5,vannes,665.0434017165676,-31.733778753662666
600.0,53.0,Vannes,3,4,Maison 53 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/maison/1293220692A1KILHMN000,paruvendu,11.320754716981131,17.666666666666668,vannes,758.9961269113669,-20.94821320872616
540.0,38.0,Vannes,2,4,Appartement 38 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/appartement/1292888489A1KILHAP000,paruvendu,14.210526315789474,19.0,vannes,657.0196403776357,-17.810676148185802
550.0,38.0,Vannes,2,4,Location appartement 2 pièces Vannes 56 550 € Meublé,https://www.ouestfrance-immo.com/immobilier/location/appartement/vannes-56-56260/2-pieces-20456909.htm,ouestfrance,14.473684210526315,19.0,vannes,657.0196403776357,-16.288651632411465
