Prix,Surface,Commune,Pieces,DPE,Titre,Lien,Source
580.0,35.0,,2.0,4.0,Appartement 35 m2,https://www.paruvendu.fr/immobilier/location/appartement/1292005394A1KILHAP000,paruvendu
700.0,42.0,Vannes,2.0,,Location appartement 2 pièces Vannes Bondon - Kerlann 56 700 €,https://www.ouestfrance-immo.com/immobilier/location/appartement/vannes-56-56260/2-pieces-20273033.htm,ouestfrance
1000.0,60.0,Sarzeau,4.0,4.0,Maison 60 m2 Sarzeau (56),https://www.paruvendu.fr/immobilier/location/maison/1293238772A1KILHMN000,paruvendu
635.0,38.0,Vannes,2.0,,Location appartement 2 pièces Vannes 56 635 € Meublé,https://www.ouestfrance-immo.com/immobilier/location/appartement/vannes-56-56260/2-pieces-20409287.htm,ouestfrance
950.0,55.0,Vannes,3.0,,Appartement 55 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/appartement/1293469085A1KILHAP000,paruvendu
450.0,25.0,Saint Ave,,,Location appartement 1 pièce Saint-Avé 56 450 €,https://www.ouestfrance-immo.com/immobilier/location/appartement/saint-ave-56-56206/t1-20375412.htm,ouestfrance
470.0,26.0,Sene,,,Location Studio 1 pièce Séné 56 470 € Meublé,https://www.ouestfrance-immo.com/immobilier/location/appartement/sene-56-56243/studio-20404007.htm,ouestfrance
895.0,47.0,Vannes,2.0,5.0,Appartement 47 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/appartement/1293114908A1KILHAP000,paruvendu
750.0,39.0,Vannes,2.0,3.0,Appartement 39 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/appartement/1292562568A1KILHAP000,paruvendu
500.0,26.0,Vannes,1.0,3.0,Appartement 26 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/appartement/1293505445A1KILHAP000,paruvendu
350.0,18.0,Saint-Avé,1.0,6.0,Appartement 18 m2 Saint-Avé (56),https://www.paruvendu.fr/immobilier/location/appartement/1293373040A1KILHAP000,paruvendu
710.0,36.0,Vannes,2.0,4.0,Appartement 36 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/appartement/1293330115A1KILHAP000,paruvendu
655.0,33.0,Vannes,2.0,,Location appartement 2 pièces Vannes 56 655 € Meublé,https://www.ouestfrance-immo.com/immobilier/location/appartement/vannes-56-56260/2-pieces-19563644.htm,ouestfrance
620.0,31.0,Theix Noyalo,2.0,,Location appartement 2 pièces Theix 56 620 € Meublé,https://www.ouestfrance-immo.com/immobilier/location/appartement/theix-noyalo-56-56251/2-pieces-20315951.htm,ouestfrance
520.0,25.0,Vannes,,,Location appartement 1 pièce Vannes 56 520 € Meublé,https://www.ouestfrance-immo.com/immobilier/location/appartement/vannes-56-56260/t1-18703700.htm,ouestfrance
760.0,36.0,Vannes,2.0,5.0,Appartement 36 m2 Vannes (56),https://www.paruvendu.fr/immobilier/location/appartement/1293072069A1KILHAP000,paruvendu
543.0,25.0,Sarzeau,,,Location appartement 1 pièce Sarzeau 56 543 €,https://www.ouestfrance-immo.com/immobilier/location/appartement/sarzeau-56-56240/t1-20138508.htm,ouestfrance
398.0,18.0,Vannes,,,Location appartement 1 pièce Vannes Vincin 56 398 €,https://www.ouestfrance-immo.com/immobilier/location/appartement/vannes-56-56260/t1-20379419.htm,ouestfrance
611.0,27.0,Vannes,,,Location appartement 1 pièce Vannes 56 611 €,https://www.ouestfrance-immo.com/immobilier/location/appartement/vannes-56-56260/t1-19688665.htm,ouestfrance
650.0,25.0,Larmor Baden,,,Location appartement 1 pièce Larmor-Baden 56 650 € Meublé,https://www.ouestfrance-immo.com/immobilier/location/appartement/larmor-baden-56-56106/t1-20383178.htm,ouestfrance
470.0,17.0,Sainte-Anne-d'Auray,2.0,3.0,Appartement 17 m2 Sainte-Anne-d'Auray (56),https://www.paruvendu.fr/immobilier/location/appartement/1282630749A1KILHAP000,paruvendu
610.0,20.0,Vannes,,,Location Studio 1 pièce Vannes 56 610 € Meublé,https://www.ouestfrance-immo.com/immobilier/location/appartement/vannes-56-56260/studio-20424585.htm,ouestfrance
620.0,19.0,Vannes,,,Location appartement 1 pièce Vannes Centre Ville 56 620 € Meublé,https://www.ouestfrance-immo.com/immobilier/location/appartement/vannes-56-56260/t1-20383168.htm,ouestfrance
350.0,10.0,Sene,,,Location Chambre 1 pièce Séné 56 350 € Meublé,https://www.ouestfrance-immo.com/immobilier/location/appartement/sene-56-56243/chambre-20177286.htm,ouestfrance
400.0,10.0,Vannes,2.0,,Location appartement 2 pièces Vannes Ménimur - St-Guen 56 400 € Colocation Meublé,https://www.ouestfrance-immo.com/immobilier/location/appartement/vannes-56-56260/2-pieces-19930561.htm,ouestfrance
